FID	IID	Sex	SVL..cm.	RHL..cm.	relRHL.SVL	relRHL.SVL.Sex
SD-10-0218_S358_L004	SD-10-0218_S358_L004	F	4.8	2.1	0.00460382	0.04953702
SD-10-0223_S359_L004	SD-10-0223_S359_L004	F	3.8	1.7	-0.020834826	0.0271528
SD-10-0225_S275_L003	SD-10-0225_S275_L003	F	4.4	2.1	0.154428361	0.200583332
SD-10-0226_S276_L003	SD-10-0226_S276_L003	F	4.9	2.1	-0.032852316	0.011775442
SD-10-0230_S277_L003	SD-10-0230_S277_L003	F	3.9	1.8	0.041709039	0.089391222
SD-10-0235_S347_L004	SD-10-0235_S347_L004	F	4.5	2.1	0.116972226	0.162821754
SD-10-0336_S343_L004	SD-10-0336_S343_L004	M	3.9	1.8	0.041709039	-0.005131393
SD-10-0344_S338_L004	SD-10-0344_S338_L004	M	3	1.4	-0.021185743	-0.065277191
SD-10-0348_S219_L003	SD-10-0348_S219_L003	M	4.4	2	0.054428361	0.006060717
SD-10-0355_S360_L004	SD-10-0355_S360_L004	F	3.7	1.6	-0.083378691	-0.035085622
SD-10-0359_S344_L004	SD-10-0359_S344_L004	M	3.3	1.5	-0.033554149	-0.078561925
SD-10-0361_S361_L004	SD-10-0361_S361_L004	F	3.3	1.5	-0.033554149	0.01596069
SD-11-0027_S230_L003	SD-11-0027_S230_L003	M	6.2	2.6	-0.019782076	-0.073647687
SD-11-0054_S234_L003	SD-11-0054_S234_L003	M	6.5	3	0.267849517	0.213067579
SD-11-0055_S299_L004	SD-11-0055_S299_L004	F	5.9	2.7	0.19258633	0.234159662
SD-11-0175_S302_L004	SD-11-0175_S302_L004	F	6.4	2.6	-0.094694347	-0.054648228
SD-11-0177_S301_L004	SD-11-0177_S301_L004	F	6.8	2.9	0.055481111	0.09430546
SD-11-0180_S297_L004	SD-11-0180_S297_L004	F	6.6	2.8	0.030393382	0.069828616
SD-11-0186_S235_L003	SD-11-0186_S235_L003	M	6.4	2.9	0.205305653	0.150829157
SD-11-0189_S295_L004	SD-11-0189_S295_L004	F	6.5	2.9	0.167849517	0.207590194
SD-11-0192_S59_L001	SD-11-0192_S59_L001	M	6.1	3	0.417674059	0.364113891
SD-11-0201_S197_L003	SD-11-0201_S197_L003	F	6.1	2.7	0.117674059	0.158636506
SD-11-0206_S165_L002	SD-11-0206_S165_L002	M	6.5	2.9	0.167849517	0.113067579
SD-11-0209B_S381_L004	SD-11-0209B_S381_L004	M	6.3	2.8	0.142761788	0.088590735
SD-11-0213_S195_L003	SD-11-0213_S195_L003	F	5.5	2.6	0.242410872	0.285205974
SD-11-0215_S196_L003	SD-11-0215_S196_L003	F	6.6	2.9	0.130393382	0.169828616
SD-11-0220_S194_L003	SD-11-0220_S194_L003	F	5.6	2.4	0.004954736	0.047444396
SD-11-0235_S204_L003	SD-11-0235_S204_L003	F	3.6	1.6	-0.045922555	0.002675956
SD-11-0238_S369_L004	SD-11-0238_S369_L004	F	2.4	1.1	-0.09644893	-0.044185107
SD-11-0239_S370_L004	SD-11-0239_S370_L004	F	2.4	1.1	-0.09644893	-0.044185107
SD-11-0245_S304_L004	SD-11-0245_S304_L004	F	2.8	1.2	-0.146273472	-0.09523142
SD-11-0251_S366_L004	SD-11-0251_S366_L004	F	2.6	1.1	-0.171361201	-0.119708264
SD-11-0258_S305_L004	SD-11-0258_S305_L004	F	3	1.3	-0.121185743	-0.070754576
SD-11-0272_S294_L004	SD-11-0272_S294_L004	F	3.7	1.6	-0.083378691	-0.035085622
SD-11-0274_S368_L004	SD-11-0274_S368_L004	F	2.4	1	-0.19644893	-0.144185107
SD-11-0278_S367_L004	SD-11-0278_S367_L004	F	2.6	1.2	-0.071361201	-0.019708264
SD-11-0279_S300_L004	SD-11-0279_S300_L004	F	2.3	1	-0.158992795	-0.106423529
SD-11-0286_S296_L004	SD-11-0286_S296_L004	F	2.6	1.2	-0.071361201	-0.019708264
SD-11-0294_S198_L003	SD-11-0294_S198_L003	F	7.1	3	0.043112705	0.081020726
SD-11-0313_S193_L003	SD-11-0313_S193_L003	F	3.2	1.5	0.003901987	0.053722268
SD-11-0317_S199_L003	SD-11-0317_S199_L003	F	3.3	1.4	-0.133554149	-0.08403931
SD-11-0322_S298_L004	SD-11-0322_S298_L004	F	6.8	2.9	0.055481111	0.09430546
SD-11-0323_S245_L003	SD-11-0323_S245_L003	M	6.3	2.7	0.042761788	-0.011409265
SD-11-0324_S303_L004	SD-11-0324_S303_L004	F	7.8	3.1	-0.119080243	-0.08331032
SD-11-0325_S242_L003	SD-11-0325_S242_L003	M	5.9	2.7	0.19258633	0.139637047
SD-11-0326_S205_L003	SD-11-0326_S205_L003	F	6.8	3	0.155481111	0.19430546
SD-11-0327_S313_L004	SD-11-0327_S313_L004	F	6.3	2.1	-0.557238212	-0.51688665
SD-11-0335_S312_L004	SD-11-0335_S312_L004	F	7.1	3.1	0.143112705	0.181020726
SD-11-0336_S315_L004	SD-11-0336_S315_L004	F	5.7	2.5	0.067498601	0.109682818
SD-11-0338_S239_L003	SD-11-0338_S239_L003	M	6.4	2.8	0.105305653	0.050829157
SD-11-0341_S328_L004	SD-11-0341_S328_L004	F	6.2	2.7	0.080217924	0.120874928
SD-11-0343_S375_L004	SD-11-0343_S375_L004	F	7.2	3.1	0.105656569	0.143259148
SD-11-0344_S58_L001	SD-11-0344_S58_L001	M	6	2.6	0.055130195	0.001875469
SD-11-0347_S314_L004	SD-11-0347_S314_L004	F	7	2.8	-0.11943116	-0.081217696
SD-11-0349_S229_L003	SD-11-0349_S229_L003	M	6.8	2.9	0.055481111	-0.000217155
SD-11-0351_S241_L003	SD-11-0351_S241_L003	M	5.7	2.7	0.267498601	0.215160203
SD-11-0360_S168_L002	SD-11-0360_S168_L002	M	4.9	2.2	0.067147684	0.017252827
SD-11-0442_S157_L002	SD-11-0442_S157_L002	M	6.4	2.5	-0.194694347	-0.249170843
SD-11-0467_S162_L002	SD-11-0467_S162_L002	M	6.8	2.7	-0.144518889	-0.200217155
SD-12-0007_S331_L004	SD-12-0007_S331_L004	F	6.1	2.65	0.067674059	0.108636506
SD-12-0025_S160_L002	SD-12-0025_S160_L002	M	5.5	NA	NA	NA
SD-12-0038_S247_L003	SD-12-0038_S247_L003	M	6.4	NA	NA	NA
SD-12-0041_S320_L004	SD-12-0041_S320_L004	F	5.9	2.4	-0.10741367	-0.065840338
SD-12-0042_S200_L003	SD-12-0042_S200_L003	F	5.6	2.4	0.004954736	0.047444396
SD-12-0044_S332_L004	SD-12-0044_S332_L004	F	6.2	2.5	-0.119782076	-0.079125072
SD-12-0045_S212_L003	SD-12-0045_S212_L003	F	5.6	2.3	-0.095045264	-0.052555604
SD-12-0050_S319_L004	SD-12-0050_S319_L004	F	6.2	2.5	-0.119782076	-0.079125072
SD-12-0056_S376_L004	SD-12-0056_S376_L004	F	5.8	2.35	-0.119957535	-0.07807876
SD-12-0083_S202_L003	SD-12-0083_S202_L003	F	7.2	2.9	-0.094343431	-0.056740852
SD-12-0092_S333_L004	SD-12-0092_S333_L004	F	6.2	2.5	-0.119782076	-0.079125072
SD-12-0093_S211_L003	SD-12-0093_S211_L003	F	6.7	2.8	-0.007062754	0.032067038
SD-12-0113_S323_L004	SD-12-0113_S323_L004	F	6.2	2.5	-0.119782076	-0.079125072
SD-12-0121_S238_L003	SD-12-0121_S238_L003	M	6.7	2.8	-0.007062754	-0.062455577
SD-12-0123_S321_L004	SD-12-0123_S321_L004	F	6.1	2.5	-0.082325941	-0.041363494
SD-12-0130_S201_L003	SD-12-0130_S201_L003	F	6.7	2.95	0.142937246	0.182067038
SD-12-0152_S206_L003	SD-12-0152_S206_L003	F	5.9	2.4	-0.10741367	-0.065840338
SD-12-0155_S203_L003	SD-12-0155_S203_L003	F	6.6	2.7	-0.069606618	-0.030171384
SD-12-0164_S243_L003	SD-12-0164_S243_L003	M	5.4	2.45	0.129867007	0.078444937
SD-12-0174_S379_L004	SD-12-0174_S379_L004	F	5.8	2.3	-0.169957535	-0.12807876
SD-12-0183_S174_L002	SD-12-0183_S174_L002	M	5.8	2.6	0.130042465	0.077398625
SD-12-0186_S246_L003	SD-12-0186_S246_L003	M	5.8	2.5	0.030042465	-0.022601375
SD-12-0187_S318_L004	SD-12-0187_S318_L004	F	6.6	2.85	0.080393382	0.119828616
SD-12-0203_S308_L004	SD-12-0203_S308_L004	F	6	2.4	-0.144869805	-0.103601916
